Salesforce Account Id,Cleaned Practice Areas
0014y00002aVi93AAC,General Practice; Real Estate; Wills and Trusts; Tax;Other (See Details)
0014y00002aVkyqAAC,Business Litigation; General Practice; Business Transactional; Employment; Bankruptcy
0014y00002aVllLAAS,Business Litigation; Environmental; General Practice; Business Transactional; Bankruptcy
0010e00001PGvspAAD,Civil Rights;  Employment
0016000000P6GHuAAN,Trusts and Estates;Personal Injury;Insurance;Consumer;Estate Planning;Medical Malpractice;Civil Litigation;Wills;Civil Trial;Bankruptcy
0014y00002aVkyrAAC,Environmental; General Practice; Construction;Workers Compensation; Business Transactional; Bankruptcy; Business Litigation; Personal Injury
0014y00002aVi95AAC,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Wills and Trusts; Tax
0014y00002aVkysAAC,Business Litigation; General Practice; Business Transactional; Administrative; Employment; Bankruptcy; Family
0014y00002aVllOAAS,Business Litigation; Environmental; General Practice; Business Transactional; Bankruptcy
0014y000026bvISAAY,Entertainment; Employment;General Practice
0010e00001KYVUzAAP,Health and Elder Care; Native American; Construction; Real Estate; Intellectual Property; Insurance; Business Litigation; Other (See Details);Business Litigation; Transportation; Employment; Environmental; Business Transactional; Family Law; Wills and Trusts; General Practice; Product Liability; Criminal; Personal Injury
0014y00002aVi96AAC,Business Litigation; Transportation; Environmental; General Practice; Business Transactional; Securities; Employment; Bankruptcy; Civil Rights; Professional Practices; Tax; Medical Malpractice
0014y00002aVkytAAC,Employment;General Practice; Criminal; Family; Wills and Trusts
0014y00002aVSdZAAW,General Practice; Criminal;Immigration
0016000000slPkJAAU,Business Litigation;  Business Transactional
0016000000pG2lnAAC,Personal Injury;Workers Compensation
0014y00002aVjKAAA0,Entertainment; Consumer; General Practice; Business Transactional; Employment; Bankruptcy; Family;Criminal; Wills and Trusts; Business Litigation; Personal Injury
0014y000026bvIUAAY,Tax;General Practice
0010e00001NW5yfAAD,Antitrust;  Class Action;  Employment
0010e00001NW6QaAAL,Family;Criminal
0010e00001NWiXRAA1,Health and Elder Care; Business Litigation
0010e00001OCtLxAAL,Personal Injury;  Professional Practices;  Medical Malpractice; Insurance;  Product Liability
0014y00002aVi98AAC,Business Litigation; Transportation; Environmental; General Practice; Real Estate; Business Transactional; Administrative; Bankruptcy
