Salesforce Contact Id,Cleaned Practice Areas.1
0034y00002ZjkSAAAZ, Wills and Trusts; Tax;Other (See Details); Real Estate; General Practice
0034y00002ZjnI2AAJ, Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice
0034y00002Zjo4gAAB, Bankruptcy; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002ZjnI3AAJ, Bankruptcy; Construction; Personal Injury; Environmental;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002ZjkSCAAZ, Bankruptcy; Wills and Trusts; Tax; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjnI4AAJ, Bankruptcy; Employment; Administrative; Business Transactional;Business Litigation; General Practice; Family
0034y00002Zjo4jAAB, Bankruptcy; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002CSF8GAAX, Entertainment;General Practice; Employment
0034y00002ZjkSDAAZ, Securities; Bankruptcy; Tax; Employment; Environmental; Transportation; Business Transactional; Medical Malpractice;Business Litigation; General Practice; Civil Rights; Professional Practices
0034y00002ZjldMAAR, Bankruptcy; Wills and Trusts; Personal Injury; Employment; Business Transactional; Consumer; General Practice; Entertainment;Criminal; Business Litigation; Family
0034y00002CSF8IAAX,General Practice; Tax
0034y00002ZjkSFAAZ, Bankruptcy; Environmental; Real Estate; Administrative; Transportation; Business Transactional;Business Litigation; General Practice
0034y00002ZjldNAAR, Health and Elder Care; Insurance; Bankruptcy; Construction; Personal Injury; Employment; Administrative;Workers Compensation; Business Transactional; Consumer; General Practice; Civil Rights; Business Litigation
0034y00002Zjo4mAAB, Real Estate; Criminal;Environmental; General Practice
0030e00002NaytsAAB, Health and Elder Care; Personal Injury; Environmental; Criminal; Transportation;Business Litigation; General Practice; Family
0034y00002ZjkSGAAZ, Insurance; Bankruptcy; Tax; Employment; Business Transactional;Business Litigation; General Practice; Civil Rights
0034y00002ZjldOAAR, Bankruptcy; Personal Injury; Employment; Business Transactional;Business Litigation; General Practice
0034y00002Zjo4nAAB, Intellectual Property; Bankruptcy; Cyberspace; Tax; Employment;Other (See Details); Real Estate; Business Transactional; General Practice; Civil Rights; Government; Business Litigation
0034y00002ZjkSHAAZ, Bankruptcy; Employment;General Practice; Consumer; Family
0034y00002ZjnI9AAJ, Intellectual Property;Personal Injury
0034y00002Zjo4oAAB, Health and Elder Care; Insurance; Personal Injury;Workers Compensation; General Practice
0036000001SOEbpAAH, Bankruptcy; Tax; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjkSIAAZ, Health and Elder Care; Insurance;Workers Compensation; General Practice
0034y00002ZjnIBAAZ, General Practice;Immigration
0034y00002Zjl85AAB, Health and Elder Care; Wills and Trusts; Personal Injury; Employment;Business Litigation; General Practice
0036000001SOGRtAAP, Construction; Personal Injury; Employment; Real Estate; Administrative;Workers Compensation; General Practice; Civil Rights; Government; Business Litigation
0034y00002ZjnICAAZ, Securities; Bankruptcy; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002Zjo4rAAB,Wills and Trusts; General Practice
0034y00002ZjkSLAAZ, Health and Elder Care;General Practice
0034y00002Zjo4sAAB,Environmental; Business Litigation
0034y00002Zjl83AAB, Real Estate;Environmental
0036000001SNKR4AAP, Health and Elder Care;Wills and Trusts; General Practice
0034y00002Zjl84AAB,Family; General Practice; Employment
0033000000HWwaqAAD,Wills and Trusts; General Practice
0030e00002Nb1LuAAJ, Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice
0034y00002Zjo4uAAB, Bankruptcy; Environmental; Real Estate; Business Transactional; General Practice;Criminal; Business Litigation
0034y00002ZjkSOAAZ, Intellectual Property; Bankruptcy; Employment;Cyberspace; Business Transactional; General Practice; Government; Business Litigation
0034y00002ZjnIGAAZ, Bankruptcy; Personal Injury; Employment; Business Transactional;Business Litigation; General Practice; Immigration; Family
0034y00002Zjo4vAAB, General Practice;Bankruptcy
0034y00002Zjl87AAB, Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002CSF9XAAX,General Practice; Personal Injury; Business Litigation
0034y00002ZjkSPAAZ,Administrative; Government; General Practice
0034y00002ZjnIHAAZ,Other (See Details); Bankruptcy; General Practice
0034y00002CSF9OAAX, Employment; General Practice;Employment
0034y00002ZjkSQAAZ, Health and Elder Care;Wills and Trusts; General Practice
0034y00002Zjo4yAAB, Criminal;Personal Injury
0034y00002CSF9QAAX, General Practice; Personal Injury;Civil Rights
0036000001SMfZOAA1, Construction; Employment; Real Estate;Business Litigation; General Practice
0034y00002ZjnIJAAZ, Administrative;Business Litigation; Civil Rights; General Practice; Government
0034y00002Zjo4zAAB,Real Estate; General Practice; Tax
0034y00002ZjhxCAAR,Wills and Trusts; General Practice
0034y00002ZjjvuAAB, Intellectual Property; Bankruptcy; Personal Injury; Environmental; Real Estate; Business Transactional; General Practice; Entertainment;Criminal; Business Litigation
0034y00002ZjTjaAAF, General Practice;Immigration
0034y00002ZjkSSAAZ, Employment;General Practice; Environmental; Administrative; Transportation; Government
0034y00002ZjnIKAAZ, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002Zjo50AAB, Personal Injury; Employment;Other (See Details); Criminal; General Practice; Business Litigation
0034y00002Zjhx9AAB, Insurance; Bankruptcy; Administrative; Consumer;Business Litigation; General Practice; Government
0034y00002CSF9UAAX,General Practice; Administrative
0034y00002ZjjvwAAB, Criminal;Civil Rights
0034y00002CSF9VAAX,Business Litigation; General Practice; Employment
0034y00002ZjjvxAAB, Bankruptcy; Wills and Trusts; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjkSUAAZ,Real Estate; General Practice; Tax
0034y00002Zjk6wAAB,Real Estate; General Practice; Tax
0034y00002Zjo52AAB, Business Transactional;Business Litigation; Civil Rights; Employment
0034y00002Zjl8DAAR,Insurance; Health and Elder Care; General Practice
0036000001SOGXKAA5, Real Estate;Wills and Trusts; General Practice; Tax
0034y00002ZjkSVAAZ, Bankruptcy; Constitutional; Administrative; Business Transactional;Business Litigation; General Practice; Government; Professional Practices
0034y00002ZjnINAAZ, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002Zjo53AAB, Insurance; Bankruptcy; Business Transactional; Medical Malpractice;Business Litigation; General Practice; Professional Practices
0034y00002ZjhxDAAR, Bankruptcy; Wills and Trusts; Business Transactional;Business Litigation; General Practice
0034y00002CSF9ZAAX, Intellectual Property;General Practice; Business litigation
0034y00002Zjjw0AAB, Business Litigation;Personal Injury
0034y00002Zjk6zAAB, Criminal; Business Litigation;Personal Injury
0034y00002Zjo54AAB, General Practice;Immigration
0034y00002Zjl8FAAR,Other (See Details); Administrative; Government; General Practice
0034y00002Zjjw1AAB, Bankruptcy; Environmental; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002Zjk70AAB, Health and Elder Care; Insurance; Environmental; Real Estate; Criminal;Business Litigation; General Practice; Civil Rights
0034y00002Zjl8GAAR, Wills and Trusts; Employment;General Practice; Criminal; Family
0034y00002Zjjw2AAB, Health and Elder Care; Employment;Other (See Details); General Practice; Family
0034y00002ZjmUfAAJ, Bankruptcy;Antitrust; Business Transactional; General Practice; Business Litigation
0034y00002Zjo56AAB, Securities; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002CSFDwAAP, Real Estate;Wills and Trusts; General Practice; Business litigation; Business Litigation
0036000001SNKREAA5, Health and Elder Care; Intellectual Property; Insurance;Antitrust; General Practice; Business Litigation
0034y00002ZjhxHAAR, Bankruptcy; Business Transactional;Business Litigation; Civil Rights; General Practice
0034y00002Zjl8IAAR, Construction; Employment; Environmental; Real Estate;Business Litigation; General Practice
0034y00002Zjm0LAAR,Real Estate; General Practice; Tax
0034y00002CSFDxAAP, Real Estate;Wills and Trusts; Business litigation
0034y00002ZjmUhAAJ,Administrative; Government; General Practice; Family
0034y00002Zjq57AAB, Bankruptcy; Wills and Trusts; Employment;General Practice; Criminal; Consumer; Family
0034y00002CSFDyAAP,General Practice; Wills and Trusts; Business Litigation
0034y00002ZjlscAAB, Insurance; Bankruptcy; Environmental; Real Estate; Business Transactional; General Practice;Criminal; Business Litigation
0034y00002ZjmUiAAJ, Insurance; Bankruptcy; Securities; Wills and Trusts; Tax;General Practice; Real Estate
0034y00002CSFE0AAP,Business Litigation; Criminal
0036000001SNKULAA5,Administrative; Government; General Practice; Family
