Salesforce Account Id,Cleaned Practice Areas
0014y00002aVi93AAC,Other (See Details); Wills and Trusts; Tax; General Practice; Real Estate
0014y00002aVkyqAAC,Business Litigation; Bankruptcy; General Practice; Employment; Business Transactional
0014y00002aVllLAAS,Business Litigation; Bankruptcy; General Practice; Environmental; Business Transactional
0010e00001PGvspAAD,Civil Rights;  Employment
0016000000P6GHuAAN,Civil Litigation;Estate Planning;Insurance;Wills;Civil Trial;Personal Injury;Consumer;Medical Malpractice;Bankruptcy; Trusts and Estates
0014y00002aVkyrAAC,General Practice; Business Transactional; Environmental;Workers Compensation; Business Litigation; Construction; Personal Injury; Bankruptcy
0014y00002aVi95AAC,Business Litigation; Wills and Trusts; Tax; General Practice; Business Transactional; Real Estate; Bankruptcy
0014y00002aVkysAAC,Business Litigation; General Practice; Employment; Business Transactional; Family; Administrative; Bankruptcy
0014y00002aVllOAAS,Business Litigation; Bankruptcy; General Practice; Environmental; Business Transactional
0014y000026bvISAAY,Entertainment;General Practice; Employment
0010e00001KYVUzAAP,Family Law; Real Estate; Insurance; Intellectual Property; Wills and Trusts; Criminal; Employment; Construction; Personal Injury; Business Litigation; Business Transactional; Native American; General Practice; Other (See Details); Health and Elder Care;Business Litigation; Transportation; Environmental; Product Liability
0014y00002aVi96AAC,Business Litigation; Civil Rights; Tax; General Practice; Employment; Securities; Transportation; Business Transactional; Environmental; Professional Practices; Bankruptcy; Medical Malpractice
0014y00002aVkytAAC,Wills and Trusts; Criminal; Employment;General Practice; Family
0014y00002aVSdZAAW,Immigration; Criminal; General Practice
0016000000slPkJAAU,Business Litigation;  Business Transactional
0016000000pG2lnAAC,Workers Compensation; Personal Injury
0014y00002aVjKAAA0,Wills and Trusts; Entertainment; General Practice; Consumer; Employment; Business Transactional; Family; Business Litigation;Criminal; Personal Injury; Bankruptcy
0014y000026bvIUAAY,General Practice; Tax
0010e00001NW5yfAAD,Employment;  Class Action;Antitrust
0010e00001NW6QaAAL,Criminal;  Family
0010e00001NWiXRAA1,Business Litigation;Health and Elder Care
0010e00001OCtLxAAL,Professional Practices;  Medical Malpractice;Personal Injury;  Product Liability; Insurance
0014y00002aVi98AAC,Business Litigation; General Practice; Transportation; Business Transactional; Real Estate; Environmental; Administrative; Bankruptcy
0014y00002aVjKBAA0,Civil Rights; Bankruptcy; General Practice; Consumer; Employment; Business Transactional; Health and Elder Care;Workers Compensation; Administrative; Insurance; Construction; Personal Injury; Business Litigation
0014y00002aVllRAAS,Criminal;Environmental; General Practice; Real Estate
0010e00001QwtaWAAR,Environmental; Business Litigation
0010e00001NW4u4AAD,Business Litigation; Criminal; General Practice; Transportation; Environmental; Health and Elder Care; Family; Personal Injury
0013000000CcBUXAA3,Personal Injury;Criminal;  Family
0016000000ohOJhAAM,General Practice; Criminal
0014y00002aVi99AAC,Business Litigation; Civil Rights; Tax; General Practice; Employment; Business Transactional; Insurance; Bankruptcy
0014y00002aVjKCAA0,Business Litigation; Bankruptcy; General Practice; Employment; Personal Injury; Business Transactional
0014y00002aVllSAAS,Other (See Details); Cyberspace; Civil Rights; Bankruptcy; General Practice; Tax; Employment; Business Transactional; Real Estate; Government; Intellectual Property; Business Litigation
0016000000d4mGFAAY,Personal Injury;Criminal;  Family;  Immigration
0016000000pG2jYAAS,Environmental; Real Estate
0014y00002aVi9AAAS,Employment; Consumer;General Practice; Family; Bankruptcy
0014y00002aVkyxAAC,Intellectual Property;Personal Injury
0014y00002aVllTAAS,General Practice; Health and Elder Care;Workers Compensation; Insurance; Personal Injury
0010e00001OCsEiAAL,Business Transactional;Real Estate
0016000000ohMTQAA2,Business Litigation; Tax; General Practice; Business Transactional; Real Estate; Bankruptcy
0016000000ohNQrAAM,Civil Rights; General Practice; Employment; Transportation; Real Estate; Environmental;Workers Compensation; Professional Practices; Administrative; Government; Construction; Personal Injury; Medical Malpractice
0014y00002aVi9BAAS,Workers Compensation; General Practice; Insurance; Health and Elder Care
0014y00002aVkyzAAC,Immigration; General Practice
0014y00002aVllVAAS,Civil Rights; Tax; General Practice; Employment; Business Transactional; Real Estate; Environmental;Workers Compensation; Business Litigation; Construction; Personal Injury; Bankruptcy
0014y00002aVioyAAC,Business Litigation; Wills and Trusts; General Practice; Employment; Health and Elder Care; Personal Injury
0010e00001NWhKPAA1,Personal Injury;Criminal
0010e00001MVmgMAAT,Civil Rights; General Practice; Employment; Real Estate;Workers Compensation; Government; Administrative; Construction; Personal Injury; Business Litigation
0010e00001NWiXWAA1,Business Transactional;  Business Litigation;Health and Elder Care; Administrative
0014y00002aVkz0AAC,Business Litigation; Bankruptcy; General Practice; Securities; Environmental; Business Transactional
0014y00002aVllWAAS,General Practice;Wills and Trusts
0014y00002Q0mzwAAB,Business Transactional;Real Estate
0014y00002gVOMIAA4,Intellectual Property;Real Estate
0014y00002aVi9EAAS,General Practice; Health and Elder Care
0014y00002aVllXAAS,Environmental; Business Litigation
0014y00002aViowAAC,Environmental; Real Estate
0016000000ohMTVAA2,Professional Practices; General Practice;Medical Malpractice
0014y00002aVioxAAC,General Practice;Family; Employment
0013000000CbRKKAA3,General Practice;Wills and Trusts
0010e00001NW7LvAAL,Business Litigation; Bankruptcy; General Practice; Employment; Business Transactional
0010e00001QRqzoAAD,Employment;  Insurance;  Business Transactional;  Business Litigation;  Securities;  Health and Elder Care;Bankruptcy
0014y00002aVllZAAS,General Practice; Business Transactional; Real Estate; Environmental; Business Litigation;Criminal; Bankruptcy
0014y00002aVi9HAAS,General Practice; Employment; Business Transactional; Business Litigation;Cyberspace; Government; Intellectual Property; Bankruptcy
0014y00002aVkz4AAC,Business Litigation; Bankruptcy; General Practice; Employment; Family; Immigration; Personal Injury; Business Transactional
0014y00002aVllaAAC,General Practice;Bankruptcy
0014y00002aVip0AAC,Business Litigation; Bankruptcy; General Practice; Real Estate; Business Transactional
0014y000026bvJjAAI,General Practice; Personal Injury; Business Litigation
0016000000ogdL7AAI,Business Litigation; Wills and Trusts; Tax; General Practice; Business Transactional; Real Estate; Bankruptcy
